id,label
0,2
1,0
2,7
3,7
4,2
5,8
6,2
7,3
8,6
9,6
10,1
11,7
12,1
13,2
14,8
15,4
16,9
17,6
18,1
19,9
20,9
21,2
22,9
23,9
24,2
25,6
26,5
27,1
28,4
29,3
30,4
31,8
32,2
33,1
34,0
35,5
36,7
37,6
38,1
39,5
40,2
41,5
42,6
43,2
44,8
45,0
46,3
47,8
48,6
49,0
50,3
51,6
52,9
53,2
54,3
55,9
56,6
57,3
58,8
59,1
60,8
61,4
62,7
63,2
64,5
65,7
66,8
67,3
68,1
69,5
70,5
71,9
72,6
73,4
74,3
75,1
76,4
77,3
78,0
79,7
80,4
81,7
82,1
83,0
84,9
85,0
86,0
87,6
88,5
89,7
90,2
91,9
92,0
93,0
94,7
95,9
96,4
97,5
98,9
99,1
100,1
101,2
102,4
103,6
104,6
105,6
106,2
107,4
108,2
109,1
110,1
111,6
112,2
113,7
114,1
115,8
116,4
117,6
118,2
119,8
120,2
121,9
122,6
123,8
124,3
125,2
126,9
127,6
128,1
129,4
130,3
131,4
132,3
133,3
134,8
135,0
136,8
137,8
138,7
139,4
140,6
141,5
142,8
143,7
144,7
145,9
146,9
147,4
148,8
149,0
150,0
151,0
152,1
153,0
154,0
155,3
156,7
157,7
158,3
159,7
160,3
161,1
162,4
163,3
164,9
165,1
166,2
167,0
168,3
169,5
170,0
171,3
172,7
173,9
174,6
175,9
176,9
177,1
178,3
179,9
180,3
181,8
182,3
183,8
184,8
185,6
186,7
187,5
188,6
189,0
190,1
191,6
192,7
193,9
194,5
195,0
196,7
197,2
198,9
199,6
200,3
201,2
202,5
203,1
204,2
205,4
206,5
207,8
208,3
209,2
210,1
211,8
212,5
213,9
214,7
215,0
216,3
217,6
218,8
219,9
220,0
221,1
222,9
223,6
224,7
225,8
226,4
227,7
228,1
229,5
230,0
231,0
232,9
233,3
234,2
235,2
236,0
237,7
238,7
239,2
240,1
241,0
242,8
243,7
244,3
245,3
246,9
247,4
248,8
249,3
250,1
251,3
252,6
253,9
254,7
255,4
256,1
257,8
258,4
259,3
260,3
261,8
262,2
263,8
264,3
265,0
266,7
267,5
268,4
269,9
270,4
271,3
272,0
273,1
274,6
275,0
276,8
277,7
278,1
279,9
280,2
281,0
282,4
283,5
284,8
285,8
286,5
287,0
288,3
289,2
290,1
291,9
292,7
293,6
294,2
295,0
296,5
297,2
298,6
299,2
300,9
301,7
302,0
303,4
304,9
305,4
306,1
307,7
308,4
309,6
310,2
311,2
312,1
313,5
314,9
315,4
316,3
317,9
318,2
319,7
320,8
321,7
322,4
323,3
324,5
325,6
326,9
327,0
328,6
329,4
330,4
331,5
332,8
333,5
334,4
335,4
336,6
337,1
338,1
339,8
340,3
341,0
342,3
343,7
344,0
345,5
346,9
347,1
348,4
349,3
350,4
351,5
352,2
353,6
354,9
355,3
356,3
357,0
358,9
359,2
360,3
361,0
362,8
363,0
364,8
365,0
366,7
367,4
368,7
369,1
370,8
371,5
372,1
373,3
374,2
375,4
376,0
377,0
378,4
379,0
380,1
381,7
382,0
383,7
384,0
385,7
386,4
387,1
388,4
389,1
390,3
391,0
392,7
393,4
394,6
395,6
396,1
397,5
398,8
399,8
400,5
401,9
402,1
403,0
404,0
405,1
406,2
407,4
408,3
409,9
410,2
411,0
412,5
413,7
414,7
415,5
416,1
417,8
418,9
419,7
420,6
421,2
422,8
423,0
424,3
425,6
426,5
427,7
428,9
429,8
430,0
431,6
432,1
433,6
434,9
435,1
436,1
437,8
438,1
439,6
440,6
441,0
442,7
443,9
444,7
445,9
446,6
447,0
448,8
449,9
450,5
451,6
452,2
453,5
454,7
455,5
456,1
457,0
458,6
459,3
460,9
461,1
462,8
463,5
464,3
465,8
466,8
467,1
468,9
469,6
470,0
471,4
472,5
473,4
474,4
475,5
476,6
477,9
478,3
479,2
480,3
481,7
482,4
483,6
484,9
485,9
486,4
487,8
488,3
489,1
490,3
491,9
492,7
493,4
494,5
495,5
496,9
497,0
498,7
499,6
500,6
501,2
502,0
503,4
504,1
505,2
506,2
507,2
508,2
509,4
510,3
511,0
512,5
513,2
514,6
515,7
516,6
517,4
518,1
519,9
520,6
521,6
522,2
523,6
524,3
525,8
526,9
527,4
528,9
529,7
530,4
531,4
532,9
533,1
534,7
535,2
536,7
537,0
538,8
539,3
540,3
541,5
542,7
543,9
544,8
545,1
546,0
547,2
548,9
549,0
550,0
551,2
552,7
553,3
554,4
555,6
556,0
557,9
558,3
559,4
560,3
561,1
562,3
563,4
564,9
565,5
566,1
567,7
568,4
569,6
570,5
571,3
572,1
573,6
574,7
575,7
576,0
577,8
578,5
579,4
580,6
581,8
582,7
583,8
584,1
585,1
586,4
587,4
588,5
589,3
590,2
591,1
592,0
593,8
594,2
595,5
596,2
597,9
598,2
599,2
600,7
601,7
602,1
603,1
604,7
605,0
606,6
607,3
608,3
609,2
610,3
611,8
612,5
613,9
614,2
615,7
616,7
617,4
618,7
619,9
620,1
621,2
622,6
623,5
624,7
625,3
626,6
627,1
628,1
629,4
630,9
631,3
632,9
633,1
634,8
635,6
636,9
637,1
638,8
639,3
640,4
641,4
642,7
643,9
644,4
645,6
646,8
647,1
648,5
649,6
650,3
651,1
652,1
653,2
654,6
655,3
656,8
657,6
658,8
659,1
660,9
661,5
662,4
663,1
664,6
665,9
666,3
667,5
668,2
669,6
670,5
671,6
672,2
673,9
674,5
675,7
676,1
677,6
678,0
679,3
680,6
681,8
682,6
683,9
684,7
685,4
686,5
687,5
688,0
689,9
690,7
691,5
692,6
693,6
694,0
695,3
696,3
697,1
698,7
699,5
700,3
701,7
702,6
703,0
704,5
705,5
706,4
707,7
708,3
709,4
710,8
711,5
712,8
713,2
714,2
715,1
716,8
717,0
718,0
719,0
720,6
721,3
722,3
723,3
724,1
725,6
726,6
727,9
728,2
729,3
730,3
731,1
732,2
733,0
734,9
735,6
736,9
737,1
738,8
739,5
740,8
741,1
742,4
743,5
744,9
745,0
746,8
747,0
748,7
749,7
750,3
751,7
752,7
753,5
754,2
755,1
756,8
757,6
758,5
759,7
760,7
761,8
762,5
763,8
764,9
765,8
766,8
767,0
768,8
769,1
770,5
771,6
772,7
773,1
774,4
775,3
776,9
777,4
778,4
779,7
780,7
781,5
782,7
783,4
784,6
785,9
786,6
787,6
788,0
789,4
790,1
791,6
792,9
793,6
794,1
795,7
796,0
797,4
798,5
799,6
800,1
801,5
802,0
803,9
804,5
805,0
806,2
807,4
808,3
809,7
810,1
811,8
812,9
813,1
814,1
815,8
816,8
817,7
818,0
819,9
820,9
821,0
822,5
823,4
824,1
825,5
826,2
827,5
828,4
829,1
830,0
831,5
832,1
833,3
834,8
835,5
836,2
837,9
838,1
839,9
840,6
841,6
842,8
843,2
844,8
845,2
846,0
847,0
848,6
849,0
850,5
851,4
852,3
853,1
854,6
855,7
856,8
857,8
858,5
859,1
860,3
861,9
862,4
863,6
864,2
865,3
866,2
867,8
868,1
869,1
870,7
871,0
872,4
873,0
874,1
875,9
876,7
877,2
878,3
879,0
880,8
881,4
882,5
883,8
884,7
885,3
886,9
887,8
888,0
889,7
890,9
891,0
892,9
893,1
894,6
895,8
896,5
897,6
898,4
899,9
900,7
901,3
902,1
903,0
904,1
905,4
906,3
907,4
908,0
909,6
910,1
911,4
912,4
913,5
914,7
915,0
916,2
917,8
918,2
919,1
920,4
921,9
922,9
923,5
924,5
925,2
926,2
927,5
928,0
929,4
930,5
931,2
932,8
933,5
934,5
935,5
936,2
937,3
938,6
939,0
940,1
941,6
942,5
943,8
944,9
945,4
946,5
947,0
948,5
949,0
950,3
951,6
952,2
953,2
954,2
955,8
956,9
957,4
958,9
959,2
960,0
961,1
962,0
963,2
964,3
965,4
966,2
967,8
968,1
969,1
970,1
971,4
972,8
973,1
974,7
975,5
976,9
977,3
978,4
979,1
980,4
981,1
982,0
983,1
984,3
985,9
986,3
987,7
988,8
989,6
990,2
991,3
992,8
993,6
994,9
995,1
996,6
997,0
998,8
999,9
